# frequency | amplitude in a.u.| u(ampl) in a.u. | phase in rad | u(phase) in rad
0.000000000000000000e+00 1.140999999999999931e-01 2.282000000000000001e-02 0.000000000000000000e+00 1.119999999999999929e+01
1.220703125000000000e+05 1.140999999999999931e-01 2.282000000000000001e-02 2.125290102389078631e-02 1.119999999999999929e+01
2.441406250000000000e+05 1.140999999999999931e-01 2.282000000000000001e-02 4.248839590443686393e-02 1.119999999999999929e+01
3.662109375000000000e+05 1.140999999999999931e-01 2.282000000000000001e-02 6.374129692832763983e-02 1.119999999999999929e+01
4.882812500000000000e+05 1.140999999999999931e-01 2.282000000000000001e-02 8.499419795221843654e-02 1.119999999999999929e+01
6.103515625000000000e+05 1.140999999999999931e-01 2.282000000000000001e-02 1.062470989761092194e-01 1.119999999999999929e+01
7.324218750000000000e+05 1.140999999999999931e-01 2.282000000000000001e-02 1.274825938566552797e-01 1.119999999999999929e+01
8.544921875000000000e+05 1.140999999999999931e-01 2.282000000000000001e-02 1.487354948805460764e-01 1.119999999999999929e+01
9.765625000000000000e+05 1.140999999999999931e-01 2.282000000000000001e-02 1.699883959044368731e-01 1.119999999999999929e+01
1.098632812500000000e+06 1.140999999999999931e-01 2.282000000000000001e-02 1.912935153583617820e-01 1.119999999999999929e+01
1.220703125000000000e+06 1.140999999999999931e-01 2.282000000000000001e-02 2.125290102389078561e-01 1.119999999999999929e+01
1.342773437500000000e+06 1.140999999999999931e-01 2.282000000000000001e-02 2.337645051194539303e-01 1.119999999999999929e+01
1.464843750000000000e+06 1.140999999999999931e-01 2.282000000000000001e-02 2.550000000000000044e-01 1.119999999999999929e+01
1.586914062500000000e+06 1.265999999999999903e-01 2.531999999999999876e-02 3.174000000000000155e-01 1.119999999999999929e+01
1.708984375000000000e+06 1.403999999999999970e-01 2.808000000000000079e-02 3.201999999999999846e-01 1.119999999999999929e+01
1.831054687500000000e+06 1.431999999999999940e-01 2.863999999999999879e-02 3.230000000000000093e-01 1.119999999999999929e+01
1.953125000000000000e+06 1.502000000000000002e-01 3.004000000000000073e-02 3.675999999999999823e-01 1.119999999999999929e+01
2.075195312500000000e+06 1.598999999999999866e-01 7.995000000000000370e-03 3.487000000000000099e-01 1.305000000000000071e+01
2.197265625000000000e+06 1.622000000000000108e-01 8.110000000000000889e-03 3.372999999999999887e-01 1.305000000000000071e+01
2.319335937500000000e+06 1.700000000000000122e-01 8.500000000000000611e-03 3.250000000000000111e-01 1.305000000000000071e+01
2.441406250000000000e+06 1.715000000000000135e-01 8.575000000000001024e-03 2.913999999999999924e-01 1.305000000000000071e+01
2.563476562500000000e+06 1.787999999999999867e-01 8.940000000000000030e-03 3.099000000000000088e-01 1.305000000000000071e+01
2.685546875000000000e+06 1.927000000000000102e-01 9.635000000000001202e-03 2.492000000000000048e-01 1.305000000000000071e+01
2.807617187500000000e+06 1.917000000000000093e-01 9.585000000000001505e-03 1.872999999999999943e-01 1.305000000000000071e+01
2.929687500000000000e+06 1.935000000000000053e-01 9.675000000000001307e-03 1.758000000000000118e-01 1.305000000000000071e+01
3.051757812500000000e+06 1.970000000000000084e-01 9.850000000000001116e-03 1.494000000000000050e-01 1.305000000000000071e+01
3.173828125000000000e+06 2.003000000000000058e-01 1.001500000000000133e-02 1.360000000000000098e-01 1.305000000000000071e+01
3.295898437500000000e+06 2.034999999999999865e-01 1.017500000000000002e-02 1.005000000000000060e-01 1.305000000000000071e+01
3.417968750000000000e+06 2.000000000000000111e-01 1.000000000000000194e-02 8.648999999999999744e-02 1.305000000000000071e+01
3.540039062500000000e+06 2.021000000000000019e-01 1.010500000000000113e-02 8.626999999999999946e-02 1.305000000000000071e+01
3.662109375000000000e+06 2.011999999999999900e-01 1.005999999999999950e-02 6.483999999999999486e-02 1.305000000000000071e+01
3.784179687500000000e+06 1.993999999999999939e-01 9.969999999999999696e-03 6.672000000000000153e-02 1.305000000000000071e+01
3.906250000000000000e+06 2.003999999999999948e-01 1.002000000000000113e-02 6.121999999999999664e-02 1.305000000000000071e+01
4.028320312500000000e+06 2.011000000000000010e-01 1.005500000000000144e-02 5.233000000000000151e-02 1.305000000000000071e+01
4.150390625000000000e+06 2.018000000000000071e-01 1.009000000000000175e-02 2.870999999999999941e-02 1.305000000000000071e+01
4.272460937500000000e+06 1.980000000000000093e-01 9.900000000000000813e-03 1.144000000000000052e-02 1.305000000000000071e+01
4.394531250000000000e+06 1.973999999999999921e-01 9.870000000000000301e-03 8.760000000000000425e-03 1.305000000000000071e+01
4.516601562500000000e+06 1.955999999999999961e-01 9.780000000000000498e-03 -1.208000000000000046e-02 1.305000000000000071e+01
4.638671875000000000e+06 1.917000000000000093e-01 9.585000000000001505e-03 -6.100000000000000387e-03 1.305000000000000071e+01
4.760742187500000000e+06 1.943000000000000005e-01 9.715000000000001412e-03 -8.427999999999999945e-04 1.305000000000000071e+01
4.882812500000000000e+06 1.948000000000000009e-01 9.740000000000000394e-03 -2.540999999999999856e-02 1.305000000000000071e+01
5.004882812500000000e+06 1.899000000000000132e-01 9.495000000000001703e-03 -3.928999999999999854e-02 2.455000000000000071e+01
5.126953125000000000e+06 1.852999999999999925e-01 9.265000000000000666e-03 -2.001000000000000001e-02 2.455000000000000071e+01
5.249023437500000000e+06 1.882999999999999952e-01 9.414999999999999758e-03 7.459999999999999618e-03 2.455000000000000071e+01
5.371093750000000000e+06 1.937000000000000111e-01 9.685000000000000900e-03 -8.989999999999999727e-03 2.455000000000000071e+01
